time,Argentina,Australia,Brazil,Canada,China,Germany,Spain,France,United Kingdom,India,Italy,Japan,"Korea, Rep.",Mexico,Netherlands,Russian Federation,Sweden,United States
1960,0.0,18573188486.9526,15165569912.5199,41093453544.9096,59716467625.3148,0.0,12072126075.397,62651474946.6007,72328047042.1588,36535925031.34,40385288344.1911,44307342950.4,3957873925.93719,13040000000.0,12276734172.0828,0.0,14842870293.4207,543300000000.0
1961,0.0,19648336879.8298,15236854859.469,40767969453.696,50056868957.6732,0.0,13834300571.4849,68346741504.4257,76694360635.9159,38709096075.6305,44842760293.1924,53508617739.3778,2417237753.94419,14160000000.0,13493833739.9949,0.0,16147160122.7882,563300000000.0
1962,24450604877.6081,19888005375.742,19926293839.0163,41978852041.4426,47209359005.6056,0.0,16138545209.246,76313782251.6964,80601939635.2483,41599070242.3094,50383891898.9911,60723018683.7333,2813933899.74577,15200000000.0,14647057370.1418,0.0,17511477311.4463,605100000000.0
1963,18272123664.4715,21501847911.3003,23021477292.2093,44657169109.22401,50706799902.5103,0.0,19074913947.7196,85551113767.3727,85443766670.4279,47776000900.0302,57710743059.8341,69498131797.3333,3988246108.63888,16960000000.0,15891241386.291,0.0,18954132365.5148,638600000000.0
1964,25605249381.7597,23758539590.0997,21211892259.9904,48882938810.2204,59708343488.5043,0.0,21343844643.7341,94906593388.3107,93387598813.9269,55726873083.5543,63175417019.0094,81749006381.5111,3458518493.92483,20080000000.0,18699380731.3465,0.0,21137242560.8543,685800000000.0
1965,28344705966.6389,25931235300.7056,21790035117.19,53909570342.16901,70436266146.7219,0.0,24756958694.9238,102160571409.274,100595782309.165,58760424669.8482,67978153850.5191,90950278257.7778,3120307807.8078103,21840000000.0,21000586933.2041,0.0,23260320646.2745,743700000000.0
1966,28630474727.9023,27261731436.891003,27062716577.9111,60358632035.1532,76720285969.6157,0.0,28721062242.1634,110597467198.645,107090721447.05699,45253641303.1897,73654870011.2757,105628070343.111,3928171298.00251,24320000000.0,22867203317.4022,0.0,25302033132.3312,815000000000.0
1967,24256667553.2569,30389741292.418,30591834053.9653,64768831262.1761,72881631326.6715,0.0,31647119228.1982,119466139619.589,111185383409.521,49466168890.9507,81133120065.4202,123781880217.6,4854576371.4328,26560000000.0,25087562181.3218,0.0,27463409201.8822,861700000000.0
1968,26436857247.4982,32657632433.6432,33875881876.3672,70759031841.7237,70846535055.6503,0.0,31475548481.4095,129847107787.88301,104702736248.084,52377324284.1951,87942231678.3505,146601072685.511,6117260075.90819,29360000000.0,27817605743.2503,0.0,29143383490.5896,942500000000.0
1969,31256284543.6155,36620002239.8925,37458898243.8609,77887510241.7083,79705906247.4612,0.0,36038711599.541,140725497222.27698,112676874821.987,57668330026.3629,97085082807.3751,172204199480.889,7675805108.27318,32480000000.0,31503868835.1853,0.0,31649203885.887997,1019900000000.0
1970,31584210365.5447,41261059469.1455,42327600098.2412,87896095224.4234,92602973434.0726,215021806498.156,40881655098.6451,148456359985.827,130671946244.3,61589800519.5084,113021271995.04301,212609187920.833,8999227202.47295,35520000000.0,37677621537.7123,0.0,37555366021.0315,1075884000000.0
1971,33293199095.4881,45138313360.9587,49204456700.4516,99271961477.5203,99800958648.1436,249039217364.635,46492797365.2695,165966615366.40198,148113896325.14,66452561865.8332,124261125468.165,240151807459.955,9889961111.91128,39200000000.0,44010160463.6591,0.0,40980345656.3725,1167770000000.0
1972,34733000536.2862,51954439252.3364,58539008786.3684,113082820992.019,113687586299.051,298667219346.133,58971806626.9739,203494148244.47302,169965034965.035,70509913049.4003,144780887782.205,318031297492.682,10842220468.8335,45200000000.0,54008338917.8797,0.0,48263914958.8443,1282449000000.0
1973,52544000116.9037,63721973094.1704,79279057730.82901,131321859214.07901,138544284708.957,396866742553.97,78425934894.3461,264429876252.21,192537971582.558,84374541630.2062,174913182331.451,432082670451.08704,13841885920.8676,55280000000.0,70924006306.1643,0.0,58567384058.8006,1428549000000.0
1974,72436777342.4554,88809137803.9794,105136007528.76,160408697648.262,144182133387.722,443618642959.716,97009800115.3735,285552373158.75604,206131369798.971,98198276856.6209,198906210777.017,479625998614.775,19482038222.8595,72000000000.0,86129928026.8875,0.0,65082581294.7696,1548825000000.0
